"task"	"kind"	"object_id"	"epistemic_state"	"entailment"	"flags"	"evidence_refs"	"reason"
"task_015"	"claims"	"claim_005"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_006"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"claims"	"claim_007"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"claims"	"claim_008"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"claims"	"claim_009"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_010"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014;GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_011"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_012"	"inference"	"partial"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014;GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence supports premises; conclusion remains inference"
"task_015"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"time/forecast/quant;tension"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"tensions"	"tension_002"	"inference"	"partial"	"tension"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"evidence supports premises; conclusion remains inference"
"task_016"	"claims"	"claim_001"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_002"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_003"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_004"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_005"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_006"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_007"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_008"	"supported"	"pass"	""	"M01:ch5-1:0055"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_009"	"inference"	"partial"	""	"M01:ch5-1:0055"	"evidence supports premises; conclusion remains inference"
"task_016"	"claims"	"claim_010"	"inference"	"partial"	""	"M01:ch5-1:0055"	"evidence supports premises; conclusion remains inference"
"task_016"	"claims"	"claim_011"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_016"	"claims"	"claim_012"	"inference"	"partial"	""	"M01:ch5-1:0055"	"evidence supports premises; conclusion remains inference"
"task_016"	"tensions"	"tension_001"	"inference"	"partial"	"tension"	"M01:ch5-1:0055;M02:ch1-3-2:0017"	"evidence supports premises; conclusion remains inference"
"task_017"	"claims"	"claim_001"	"supported"	"pass"	"time/forecast/quant"	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_002"	"supported"	"pass"	""	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_003"	"supported"	"pass"	""	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_004"	"supported"	"pass"	""	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_005"	"inference"	"partial"	"time/forecast/quant"	"M05:ch2-2:o2:0026"	"evidence supports premises; conclusion remains inference"
"task_017"	"claims"	"claim_006"	"inference"	"partial"	""	"M05:ch2-2:o2:0026"	"evidence supports premises; conclusion remains inference"
"task_017"	"claims"	"claim_007"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_008"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence ref and statement treated as directly entailed"
"task_017"	"claims"	"claim_009"	"inference"	"partial"	""	"GPU产业技术源流与投资机会_最终报告:ch5-1:0023;M05:ch2-2:o2:0026"	"evidence supports premises; conclusion remains inference"
"task_017"	"claims"	"claim_010"	"uncertain"	"uncertain"	""	"M05:ch2-2:o2:0026;GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"bounded/forecast or tension; not treated as established fact"
"task_017"	"claims"	"claim_011"	"inference"	"partial"	""	"M05:ch2-2:o2:0026"	"evidence supports premises; conclusion remains inference"
"task_017"	"claims"	"claim_012"	"inference"	"partial"	"causal"	"M05:ch2-2:o2:0026;GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"evidence supports premises; conclusion remains inference"
"task_017"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"tension"	"M05:ch2-2:o2:0026;GPU产业技术源流与投资机会_最终报告:ch5-1:0023"	"bounded/forecast or tension; not treated as established fact"
"task_018"	"claims"	"claim_001"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_002"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024;M06:ch1-2:o2:0008"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_003"	"supported"	"pass"	""	"M06:ch1-2:o2:0008"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_004"	"supported"	"pass"	""	"M06:ch1-2:o2:0008"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_005"	"supported"	"pass"	""	"M07:ch4-1:0039"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_006"	"supported"	"pass"	""	"M06:ch1-2:o2:0008"	"evidence ref and statement treated as directly entailed"
"task_018"	"claims"	"claim_007"	"inference"	"partial"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024;M06:ch1-2:o2:0008"	"evidence supports premises; conclusion remains inference"
"task_018"	"claims"	"claim_008"	"inference"	"partial"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024;M06:ch1-2:o2:0008"	"evidence supports premises; conclusion remains inference"
"task_018"	"claims"	"claim_009"	"inference"	"partial"	""	"M06:ch1-2:o2:0008"	"evidence supports premises; conclusion remains inference"
"task_018"	"claims"	"claim_010"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_018"	"claims"	"claim_011"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_018"	"claims"	"claim_012"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_018"	"tensions"	"tension_001"	"inference"	"partial"	"tension"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence supports premises; conclusion remains inference"
"task_018"	"tensions"	"tension_002"	"uncertain"	"uncertain"	"tension"	"M06:ch1-2:o2:0008"	"bounded/forecast or tension; not treated as established fact"
"task_019"	"claims"	"claim_001"	"supported"	"pass"	""	"M07:ch4-2:0042"	"evidence ref and statement treated as directly entailed"
"task_019"	"claims"	"claim_002"	"supported"	"pass"	""	"M07:ch4-2:0042"	"evidence ref and statement treated as directly entailed"
"task_019"	"claims"	"claim_003"	"inference"	"partial"	""	"M07:ch4-2:0042"	"evidence supports premises; conclusion remains inference"
"task_019"	"claims"	"claim_004"	"inference"	"partial"	"causal"	"M07:ch4-2:0042"	"evidence supports premises; conclusion remains inference"
"task_019"	"claims"	"claim_005"	"uncertain"	"uncertain"	""	"M07:ch4-2:0042"	"bounded/forecast or tension; not treated as established fact"
"task_019"	"claims"	"claim_006"	"inference"	"partial"	""	"M07:ch4-2:0042"	"evidence supports premises; conclusion remains inference"
"task_019"	"tensions"	"tension_001"	"supported"	"pass"	"tension"	"M07:ch4-2:0042"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_001"	"supported"	"pass"	""	"M06:ch1-1:0005"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_002"	"supported"	"pass"	""	"M06:ch1-1:0005"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_003"	"supported"	"pass"	""	"M01:ch6-2-1:0069"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_004"	"supported"	"pass"	""	"M01:ch6-2-1:0069"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_005"	"supported"	"pass"	""	"M01:ch6-2-1:0069"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_006"	"uncertain"	"uncertain"	""	"M06:ch1-1:0005"	"bounded/forecast or tension; not treated as established fact"
"task_020"	"claims"	"claim_007"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_020"	"claims"	"claim_008"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_009"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_020"	"claims"	"claim_010"	"inference"	"partial"	""	"M06:ch1-1:0005;M01:ch6-2-1:0069"	"evidence supports premises; conclusion remains inference"
"task_020"	"claims"	"claim_011"	"supported"	"pass"	""	"M01:ch6-2-1:0069"	"evidence ref and statement treated as directly entailed"
"task_020"	"claims"	"claim_012"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence ref and statement treated as directly entailed"
"task_020"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"time/forecast/quant;tension"	"M01:ch6-2-1:0069;GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"bounded/forecast or tension; not treated as established fact"
"task_020"	"tensions"	"tension_002"	"inference"	"partial"	"tension"	"M01:ch6-2-1:0069;M06:ch1-1:0005;GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence supports premises; conclusion remains inference"
"task_020"	"tensions"	"tension_003"	"inference"	"partial"	"tension"	"M01:ch6-2-1:0069;GPU产业技术源流与投资机会_最终报告:ch5-2:0024"	"evidence supports premises; conclusion remains inference"
"task_021"	"claims"	"claim_001"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_002"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_003"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_004"	"inference"	"partial"	""	"M02:ch1-3-2:0017"	"evidence supports premises; conclusion remains inference"
"task_021"	"claims"	"claim_005"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_006"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_007"	"inference"	"partial"	""	"M02:ch1-3-2:0017"	"evidence supports premises; conclusion remains inference"
"task_021"	"claims"	"claim_008"	"inference"	"partial"	""	"M02:ch1-3-2:0017"	"evidence supports premises; conclusion remains inference"
"task_021"	"claims"	"claim_009"	"supported"	"pass"	""	"M02:ch1-3-2:0017"	"evidence ref and statement treated as directly entailed"
"task_021"	"claims"	"claim_010"	"inference"	"partial"	""	"M02:ch1-3-2:0017"	"evidence supports premises; conclusion remains inference"
"task_021"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"tension"	"M02:ch1-3-2:0017"	"bounded/forecast or tension; not treated as established fact"
"task_022"	"claims"	"claim_001"	"supported"	"pass"	"time/forecast/quant"	"M10:ch1-3-1:0013"	"evidence ref and statement treated as directly entailed"
"task_022"	"claims"	"claim_002"	"supported"	"pass"	""	"M10:ch1-3-1:0013"	"evidence ref and statement treated as directly entailed"
"task_022"	"claims"	"claim_003"	"supported"	"pass"	""	"M10:ch1-3-1:0013"	"evidence ref and statement treated as directly entailed"
"task_022"	"claims"	"claim_004"	"supported"	"pass"	"time/forecast/quant"	"M10:ch1-3-1:0013"	"evidence ref and statement treated as directly entailed"
"task_022"	"claims"	"claim_005"	"inference"	"partial"	""	"M10:ch1-3-1:0013"	"evidence supports premises; conclusion remains inference"
"task_022"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"causal;tension"	"M10:ch1-3-1:0013"	"bounded/forecast or tension; not treated as established fact"
